year,country,slug,source,source_type,match,confidence,section,subsection,method,sentence
2024,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Physical Attacks, Imprisonment, and Pressure There were numerous reports the Taliban subjected journalists to violence, harassment, and intimidation."
2024,Afghanistan,afghanistan,Protection of Journalists (CPJ),named (unclassified),pattern,medium,Section 2. Liberty,a. Freedom of the Press,rules,"On June 20, the Committee for the Protection of Journalists (CPJ) reported the Taliban had severely beaten and physically abused a local journalist after detaining him in Parwan Province a week before."
2024,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"On June 20, the Committee for the Protection of Journalists (CPJ) reported the Taliban had severely beaten and physically abused a local journalist after detaining him in Parwan Province a week before."
2024,Afghanistan,afghanistan,local journalist,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"On June 20, the Committee for the Protection of Journalists (CPJ) reported the Taliban had severely beaten and physically abused a local journalist after detaining him in Parwan Province a week before."
2024,Afghanistan,afghanistan,journalist,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Taliban intelligence forces arrested the journalist on June 13 in Bagram District, Parwan Province, while he was returning from Kabul."
2024,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,Threats of detention and violence against journalists drove several media organizations to close and journalists to flee.
2024,Afghanistan,afghanistan,Center (AFJC),named (unclassified),pattern,medium,Section 2. Liberty,a. Freedom of the Press,rules,"On August 13, the Afghan Journalists’ Center (AFJC) released a report on press freedom in the country."
2024,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"On August 13, the Afghan Journalists’ Center (AFJC) released a report on press freedom in the country."
2024,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"The report stated, “This included 133 threats [to journalists], the temporary closure of four media outlets, the permanent closure of four others, the suspension of several media licenses, and the arrest of 48 journalists and media workers, with two still in custody.” Censorship by Governments, Military, Intelligence, or Police Forces, Criminal Groups, or Armed Extremist or Rebel Groups The Taliban enforced a 2022 decree stating that “defaming and criticizing government officials without proof” and “spreading false news and rumors” were forbidden under Islam and that those who “slander” government employees were unwittingly collaborating with the enemy and would be “punished.” On September 21, the Ministry of Information and Culture introduced new restrictions to regulate the press during a meeting with managers of several media outlets in Kabul."
2024,Afghanistan,afghanistan,media outlets,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"The report stated, “This included 133 threats [to journalists], the temporary closure of four media outlets, the permanent closure of four others, the suspension of several media licenses, and the arrest of 48 journalists and media workers, with two still in custody.” Censorship by Governments, Military, Intelligence, or Police Forces, Criminal Groups, or Armed Extremist or Rebel Groups The Taliban enforced a 2022 decree stating that “defaming and criticizing government officials without proof” and “spreading false news and rumors” were forbidden under Islam and that those who “slander” government employees were unwittingly collaborating with the enemy and would be “punished.” On September 21, the Ministry of Information and Culture introduced new restrictions to regulate the press during a meeting with managers of several media outlets in Kabul."
2024,Afghanistan,afghanistan,expert,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"The media head, publication manager, program host, editor, and political expert (guest of the program) would reportedly be held individually responsible for any violations of these guidelines."
2024,Afghanistan,afghanistan,international nongovernmental organizations,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,"International nongovernmental organizations (NGOs) noted unions were largely absent from the informal and agricultural sectors, which accounted for most workers."
2024,Afghanistan,afghanistan,ngos,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,"International nongovernmental organizations (NGOs) noted unions were largely absent from the informal and agricultural sectors, which accounted for most workers."
2024,Afghanistan,afghanistan,International Labor Organization,UN body,gazetteer,high,Section 2. Liberty,b. Worker Rights,rules,The International Labor Organization estimated the informal sector accounted for more than 86 percent of the national economy.
2024,Afghanistan,afghanistan,UN Security Council,named (unclassified),pattern,medium,Section 2. Liberty,c. Disappearance and Abduction,rules,"SR Bennett, in his report released ahead of the 55th session of the HRC, stated he received first-hand accounts from victims of enforced disappearances, among other human rights abuses, and included enforced disappearance among the various ways in which the Taliban implemented their rights-violating edicts on the citizens of the country, saying “cases of such disappearances of human rights defenders, legal professionals and protesters, many of them female, have been documented.” The Office of the UN Coordinator of the Analytical Support and Sanctions Monitoring Team for Afghanistan in its July 3 report to the UN Security Council noted reports of unattributed forced disappearances, adding that the Taliban were not taking efforts to systematically prevent them from happening."
2024,Afghanistan,afghanistan,human rights defenders,unnamed/generic,generic,low,Section 2. Liberty,c. Disappearance and Abduction,rules,"SR Bennett, in his report released ahead of the 55th session of the HRC, stated he received first-hand accounts from victims of enforced disappearances, among other human rights abuses, and included enforced disappearance among the various ways in which the Taliban implemented their rights-violating edicts on the citizens of the country, saying “cases of such disappearances of human rights defenders, legal professionals and protesters, many of them female, have been documented.” The Office of the UN Coordinator of the Analytical Support and Sanctions Monitoring Team for Afghanistan in its July 3 report to the UN Security Council noted reports of unattributed forced disappearances, adding that the Taliban were not taking efforts to systematically prevent them from happening."
2024,Afghanistan,afghanistan,Human Rights Watch,international NGO,gazetteer,high,Section 2. Liberty,c. Disappearance and Abduction,rules,"In a report released on August 29, Human Rights Watch stated the Taliban “use enforced disappearances to assert control and instill fear in those who oppose them.” On April 16, a man’s body was reportedly discovered in the provincial capital of Paktika Province."
2024,Afghanistan,afghanistan,media reports,unnamed/generic,generic,low,Section 2. Liberty,c. Disappearance and Abduction,rules,"According to media reports, his body showed signs of physical abuse and was found behind a Taliban military base one day after his disappearance."
2024,Afghanistan,afghanistan,High Commissioner for Human Rights (OHCHR),named (unclassified),pattern,medium,Section 2. Liberty,c. Disappearance and Abduction,rules,"On September 3, the UN Office of the High Commissioner for Human Rights (OHCHR) reported media workers and civil society activists, particularly campaigners for girls’ education and women’s rights, continued to be subject to arbitrary detention."
2024,Afghanistan,afghanistan,activists,unnamed/generic,generic,low,Section 2. Liberty,c. Disappearance and Abduction,rules,"On September 3, the UN Office of the High Commissioner for Human Rights (OHCHR) reported media workers and civil society activists, particularly campaigners for girls’ education and women’s rights, continued to be subject to arbitrary detention."
2024,Afghanistan,afghanistan,media outlets,unnamed/generic,generic,low,Section 2. Liberty,c. Disappearance and Abduction,rules,The OHCHR also reported the targeting and detention of workers from Afghan media outlets based abroad had been observed.
2024,Afghanistan,afghanistan,Zabihullah Mujahid,named (unclassified),pattern,medium,Section 3. Security of the Person,"a. Torture and Cruel, Inhuman, or Degrading Treatment or Punishment",rules,"On March 26, Taliban spokesman Zabihullah Mujahid said stoning was part of sharia and that “if the conditions for stoning arise again, we will undoubtedly implement the sharia decrees.” Between January 1 and June 30, UNAMA documented at least 20 instances of the Taliban’s use of physical abuse and mistreatment against civilians."
2024,Afghanistan,afghanistan,human rights activists,unnamed/generic,generic,low,Section 3. Security of the Person,"a. Torture and Cruel, Inhuman, or Degrading Treatment or Punishment",rules,"Between April 1 and June 30, UNAMA documented at least 179 instances of court-ordered corporal punishment ordered by Taliban-appointed “judges.” Human rights activists documented a total of 364 instances (316 men and 48 women) of Taliban-enforced corporal punishment by August 31, already exceeding the entire number of 217 (185 men; 32 women) documented cases of corporal punishment carried out by the Taliban in 2023."
2024,Afghanistan,afghanistan,United Nations,UN body,gazetteer,high,Section 3. Security of the Person,b. Protection of Children,rules,"In 2023, the United Nations documented the Taliban’s recruitment of 342 boys and their use in combat (150 boys) and support roles (192)."
2024,Afghanistan,afghanistan,media outlets,unnamed/generic,generic,low,Section 3. Security of the Person,b. Protection of Children,rules,"On June 15, multiple media outlets reported Taliban security forces in northeastern Badakhshan Province recruited approximately 30 children between ages 10 and 18 and provided them with military training in a special military center."
2024,Afghanistan,afghanistan,SR Bennett,named (unclassified),pattern,medium,Section 3. Security of the Person,b. Protection of Children,rules,"One woman, living inside Afghanistan, stated that she now had to marry, stating that ‘all of my dreams have shattered.’” SR Bennett noted special concern regarding allegations the Taliban had been involved in forced and child marriages without legal consequences, especially in rural and remote areas, saying “these coerced conjugal relationships, a phenomenon that also predates the Taliban’s administration, may also entail other violations, including rape, torture, forced pregnancy, and forced labor.” He concluded the Taliban were reportedly providing no meaningful protection against either forced marriage itself or violence within marriage."
2024,Afghanistan,afghanistan,UNICEF,UN body,gazetteer,high,Section 3. Security of the Person,b. Protection of Children,rules,"UNICEF estimated that 38.9 percent of women in the country between the ages of 15 and 49 were married before the age of 18 and noted that teenage girls who were not allowed to go to school were at greater “risk of child marriage.” In an article published in the Washington Post on January 15, the founder of Too Young to Wed, an NGO seeking to empower girls and end child marriage globally, documented 118 girls who had been sold as child brides and 116 families with girls waiting for buyers in a makeshift settlement for displaced persons in Herat Province."
2024,Afghanistan,afghanistan,ngo,unnamed/generic,generic,low,Section 3. Security of the Person,b. Protection of Children,rules,"UNICEF estimated that 38.9 percent of women in the country between the ages of 15 and 49 were married before the age of 18 and noted that teenage girls who were not allowed to go to school were at greater “risk of child marriage.” In an article published in the Washington Post on January 15, the founder of Too Young to Wed, an NGO seeking to empower girls and end child marriage globally, documented 118 girls who had been sold as child brides and 116 families with girls waiting for buyers in a makeshift settlement for displaced persons in Herat Province."
2024,Afghanistan,afghanistan,UNHCR,UN body,gazetteer,high,Section 3. Security of the Person,c. Protection to Refugees,rules,"The Office of the UN High Commissioner for Refugees (UNHCR), the International Organization for Migration (IOM), and other humanitarian organizations provided protection and assistance to refugees and returning refugees, as well as other persons of concern."
2024,Afghanistan,afghanistan,International Organization for Migration,UN body,gazetteer,high,Section 3. Security of the Person,c. Protection to Refugees,rules,"The Office of the UN High Commissioner for Refugees (UNHCR), the International Organization for Migration (IOM), and other humanitarian organizations provided protection and assistance to refugees and returning refugees, as well as other persons of concern."
2024,Afghanistan,afghanistan,UNHCR,UN body,gazetteer,high,Section 3. Security of the Person,c. Protection to Refugees,rules,The Taliban provided their own limited assistance to returnees at certain border points – particularly with the provision of cash and SIM cards to returnees from Pakistan – but obstructed broad efforts by UNHCR and the IOM to streamline internally displaced persons headcount efforts and reach vulnerable returnee populations.
2024,Albania,albania,journalist,unnamed/generic,generic,low,Executive Summary,,rules,"Significant human rights issues included credible reports of serious restrictions on freedom of expression and media freedom, including journalist self-censorship."
2024,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Independent media organizations and professional journalists asserted the government, political parties, businesses, and criminal groups sought to influence media in inappropriate, nontransparent ways."
2024,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Political pressure, corruption, and lack of funding constrained the independence of print media, and journalists reportedly practiced self-censorship."
2024,Albania,albania,observers,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,Observers believed media in the country reflected political affiliation rather than standards of independent and professional journalism.
2024,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Physical Attacks, Imprisonment, and Pressure Political and business interests reportedly pressured journalists."
2024,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,Several journalists reported receiving threatening communications or being the victim of public smear campaigns after reporting on alleged government corruption or misconduct.
2024,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"In March, the Albanian Journalists Union publicly denounced the prime minister for using intimidating language with a journalist investigating tourism investment in the country."
2024,Albania,albania,journalist,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"In March, the Albanian Journalists Union publicly denounced the prime minister for using intimidating language with a journalist investigating tourism investment in the country."
2024,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Censorship by Governments, Military, Intelligence, or Police Forces, Criminal Groups, or Armed Extremist or Rebel Groups Journalists often practiced self-censorship to avoid violence and harassment or to ensure employment."
2024,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Media reported access to public information continued to decrease, and journalists found it increasingly difficult to obtain public documents and receive timely responses from public institutions to media inquiries."
2024,Albania,albania,academic,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Organizations reported concern regarding academic freedom, claiming that several academic public institutions elected or appointed leaders due to their political ties."
2024,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,Media organizations in the country expressed concern that journalists encountered considerable obstacles monitoring or reporting the election process inside academic institutions.
2024,Albania,albania,academic,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,Media organizations in the country expressed concern that journalists encountered considerable obstacles monitoring or reporting the election process inside academic institutions.
2024,Albania,albania,nongovernmental organizations,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Efforts to Preserve the Independence of the Media In April, parliament established an ad hoc committee on disinformation and in its initial meetings the committee invited members of media organizations and nongovernmental organizations (NGOs) to participate and monitor the work of the committee."
2024,Albania,albania,ngos,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Efforts to Preserve the Independence of the Media In April, parliament established an ad hoc committee on disinformation and in its initial meetings the committee invited members of media organizations and nongovernmental organizations (NGOs) to participate and monitor the work of the committee."
2024,Albania,albania,trade unions,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,The law prohibited members of the military and senior government officials from joining unions and required trade unions have at least 20 members to be registered.
2024,Albania,albania,ngo,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,"The labor inspector did not inspect private residences for violations of domestic laborers’ rights, and the NGO Solidarity Center and labor inspectorate noted cases of employers confiscating migrant workers passports."
2024,Albania,albania,labor unions,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,Labor unions were generally weak and politicized.
2024,Albania,albania,observers,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,Observers reported threats of retaliation against employees deciding to participate in new unions.
2024,Albania,albania,Solidarity Center,named (unclassified),pattern,medium,Section 2. Liberty,b. Worker Rights,rules,"The Solidarity Center reported that while the law provided comprehensive protection for workers to form and join unions, workers still feared retaliation and did not trust the justice system to enforce employment law."
2024,Albania,albania,Solidarity Center,named (unclassified),pattern,medium,Section 2. Liberty,b. Worker Rights,rules,"The Solidarity Center reported the law was not universally enforced, particularly in the garment and footwear industry."
2024,Albania,albania,ngos,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,"The number of inspectors was insufficient to enforce compliance, and according to NGOs employers were often informed prior to inspections, even though inspectors had the authority to make unannounced inspections and initiate sanctions."
2024,Albania,albania,Solidarity Center,named (unclassified),pattern,medium,Section 2. Liberty,b. Worker Rights,rules,The Solidarity Center asserted workers and the public remained skeptical of the government’s ability to enforce employment or union rights.
2024,Albania,albania,Institute for Activism and Social Change,named (unclassified),pattern,medium,Section 2. Liberty,c. Disappearance and Abduction,rules,"The ombudsperson, the Albania Helsinki Commission, and the Institute for Activism and Social Change reported lengthy pretrial detention continued to be a problem."
2024,Albania,albania,General Directorate of Prisons (GDP),named (unclassified),pattern,medium,Section 2. Liberty,c. Disappearance and Abduction,rules,The Ministry of Interior and the General Directorate of Prisons (GDP) reported no cases of individuals detained beyond legal timelines.
2024,Albania,albania,NGO Nisma Arsis,named (unclassified),pattern,medium,Section 3. Security of the Person,b. Protection of Children,rules,NGO Nisma Arsis noted underage marriages often occurred with Romani and Balkan-Egyptian children.
2024,Albania,albania,ngo,unnamed/generic,generic,low,Section 3. Security of the Person,b. Protection of Children,rules,NGO Nisma Arsis noted underage marriages often occurred with Romani and Balkan-Egyptian children.
2024,Albania,albania,Protection of Children,named (unclassified),pattern,medium,Section 3. Security of the Person,b. Protection of Children,rules,"The State Agency for the Protection of Children reported forced or early marriage were rare, although they remained more common in Romani and Balkan-Egyptian communities."
2024,Albania,albania,UNHCR,UN body,gazetteer,high,Section 3. Security of the Person,c. Protection to Refugees,rules,"The government cooperated with the Office of the UN High Commissioner for Refugees (UNHCR) and other humanitarian organizations in providing protection and assistance to refugees, returning refugees, or asylum seekers, as well as other persons of concern."
2024,Albania,albania,UNHCR,UN body,gazetteer,high,Section 3. Security of the Person,c. Protection to Refugees,rules,"UNHCR, through its partner the Albanian Services for Refugees and Migrants, monitored personal interviews with asylum seekers during the refugee status determination process and supported their integration."
2024,Albania,albania,UNHCR,UN body,gazetteer,high,Section 3. Security of the Person,c. Protection to Refugees,rules,"Police allowed UNHCR, the Office of the Ombudsperson, and their civil society partners to conduct independent monitoring of asylum processes and related facilities."
2024,Albania,albania,UNHCR,UN body,gazetteer,high,Section 3. Security of the Person,c. Protection to Refugees,rules,"Resettlement UNHCR stated that while the law provided for naturalization of refugees, the country had not implemented required bylaws on the needed documentation and processes for naturalization."
2024,Albania,albania,UNHCR,UN body,gazetteer,high,Section 3. Security of the Person,c. Protection to Refugees,rules,UNHCR reported that bureaucratic inefficiencies hindered naturalization and repatriation processes.
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Executive Summary,,rules,"Significant human rights issues included credible reports of: disappearances; torture or cruel, inhuman, or degrading treatment or punishment; arbitrary arrest and detention; serious restrictions on freedom of expression and media freedom, including violence or threats of violence against journalists, unjustified arrests and prosecutions of journalists, and censorship; restrictions of religious freedom; trafficking in persons, including forced labor; and violence or threats against labor activists or union members."
2024,Algeria,algeria,activists,unnamed/generic,generic,low,Executive Summary,,rules,"Significant human rights issues included credible reports of: disappearances; torture or cruel, inhuman, or degrading treatment or punishment; arbitrary arrest and detention; serious restrictions on freedom of expression and media freedom, including violence or threats of violence against journalists, unjustified arrests and prosecutions of journalists, and censorship; restrictions of religious freedom; trafficking in persons, including forced labor; and violence or threats against labor activists or union members."
2024,Algeria,algeria,Ministry of Justice,named (unclassified),pattern,medium,Executive Summary,,rules,"The Ministry of Justice reported several prosecutions or convictions of civil, security, or military officials for abusive treatment."
2024,Algeria,algeria,human rights defenders,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Human rights defenders, journalists, activists, and others regularly faced criminal prosecution on charges observers assessed as retaliation against criticism of the government, often under the penal code’s overly broad definition of terrorism."
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Human rights defenders, journalists, activists, and others regularly faced criminal prosecution on charges observers assessed as retaliation against criticism of the government, often under the penal code’s overly broad definition of terrorism."
2024,Algeria,algeria,activists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Human rights defenders, journalists, activists, and others regularly faced criminal prosecution on charges observers assessed as retaliation against criticism of the government, often under the penal code’s overly broad definition of terrorism."
2024,Algeria,algeria,observers,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Human rights defenders, journalists, activists, and others regularly faced criminal prosecution on charges observers assessed as retaliation against criticism of the government, often under the penal code’s overly broad definition of terrorism."
2024,Algeria,algeria,human rights defenders,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"In September, UN special rapporteurs reported serious concerns related to allegations of unjustified restrictions on the freedom of opinion and expression of human rights defenders, journalists, and human rights lawyers."
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"In September, UN special rapporteurs reported serious concerns related to allegations of unjustified restrictions on the freedom of opinion and expression of human rights defenders, journalists, and human rights lawyers."
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Voule reported that vague and broad concepts left scope for unjustified restrictions on journalists and freedom of expression and were used to suppress government criticism, creating a chilling effect within civic space."
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"The government harassed critics, arbitrarily enforced vaguely worded laws, and informally pressured publishers, editors, advertisers, and journalists."
2024,Algeria,algeria,human rights organizations,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,Human rights organizations assessed that the amendments permitted arbitrary interpretation to further restrict civil society and independent media outlets.
2024,Algeria,algeria,independent media outlets,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,Human rights organizations assessed that the amendments permitted arbitrary interpretation to further restrict civil society and independent media outlets.
2024,Algeria,algeria,journalist,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Two criminal cases were brought against him, the first for allegedly helping journalist Amira Bouraoui flee to France and founding a criminal organization."
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Physical Attacks, Imprisonment, and Pressure Authorities subjected journalists to harassment and intimidation."
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,Journalists reported selective prosecutions served as a mechanism for intimidation.
2024,Algeria,algeria,activists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"According to Reporters without Borders, the government intimidated activists and journalists."
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"According to Reporters without Borders, the government intimidated activists and journalists."
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"The government’s actions included harassment of some critics, arbitrary enforcement of vaguely worded laws, and informal pressure on publishers, editors, advertisers, and journalists."
2024,Algeria,algeria,journalist,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"On April 14, border police briefly detained journalist Farid Alilat, an Algerian national, upon his arrival at Algiers airport."
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Censorship by Governments, Military, Intelligence, or Police Forces, Criminal Groups, or Armed Extremist or Rebel Groups The constitution, penal code, and recent media and publications law heavily restricted media freedoms and enabled criminal prosecutions against journalists and media groups."
2024,Algeria,algeria,media outlets,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"The Ministry of Communication’s Foreign Media Directorate was responsible for issuing and renewing accreditations to foreign media outlets operating in the country, but the ministry did not accredit all foreign media, preventing many foreign outlets from operating in the country."
2024,Algeria,algeria,Ministry of Communication,named (unclassified),pattern,medium,Section 2. Liberty,a. Freedom of the Press,rules,The Ministry of Communication reported an increase from 33 to 40 accredited foreign media outlets operating in the country.
2024,Algeria,algeria,media outlets,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,The Ministry of Communication reported an increase from 33 to 40 accredited foreign media outlets operating in the country.
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Regulations required the shareholders and managers of any radio or television channel to be citizens and prohibited them from broadcasting content that offends “values anchored in Algerian society.” The law frequently left such terms undefined, allowing authorities to prosecute, convict, arrest, and detain journalists for lengthy periods of time for covering sensitive topics."
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"Journalists and media organizations regularly practiced self-censorship out of fear of being targeted, penalized, detained, or prosecuted."
2024,Algeria,algeria,journalists,unnamed/generic,generic,low,Section 2. Liberty,a. Freedom of the Press,rules,"After ARAV withdrew the accreditation of France 24 in October for “clear and repeated hostility towards our country and its institutions,” several foreign news outlets reported that journalists – both foreign and local – faced increased bureaucratic hurdles and repression."
2024,Algeria,algeria,nongovernmental organizations,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,"The law further imposed restrictions on international cooperation with other nongovernmental organizations (NGOs), which observers said constituted interference in trade union activity."
2024,Algeria,algeria,ngos,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,"The law further imposed restrictions on international cooperation with other nongovernmental organizations (NGOs), which observers said constituted interference in trade union activity."
2024,Algeria,algeria,observers,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,"The law further imposed restrictions on international cooperation with other nongovernmental organizations (NGOs), which observers said constituted interference in trade union activity."
2024,Algeria,algeria,trade union,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,"The law further imposed restrictions on international cooperation with other nongovernmental organizations (NGOs), which observers said constituted interference in trade union activity."
2024,Algeria,algeria,international trade union,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,"For example, the General Union of Algerian Workers (UGTA), which represented most public-sector workers, was an affiliate of the International Trade Union Confederation."
2024,Algeria,algeria,International Labor Organization,UN body,gazetteer,high,Section 2. Liberty,b. Worker Rights,rules,"The list of essential services went beyond International Labor Organization (ILO) standards for essential services and included banking, radio, and television."
2024,Algeria,algeria,trade unions,unnamed/generic,generic,low,Section 2. Liberty,b. Worker Rights,rules,Many trade unions remained unrecognized by the government.
