year,country,slug,source,source_type,match,confidence,section,subsection,method,sentence
2023,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"The Taliban used force against protesters and journalists and suppressed political discussion and dissent, which had a severe chilling effect on civil society."
2023,Afghanistan,afghanistan,Afghan Journalists Center,named (unclassified),pattern,medium,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"On August 8, the Afghan Journalists Center reported the Taliban’s local administration in Nangarhar Province shut down the Nen (Today) and Jowanan (Youth) radio stations, because they were operating out of the Hamisha Bahar premises."
2023,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"On August 8, the Afghan Journalists Center reported the Taliban’s local administration in Nangarhar Province shut down the Nen (Today) and Jowanan (Youth) radio stations, because they were operating out of the Hamisha Bahar premises."
2023,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"Violence and Harassment: There were numerous reports the Taliban subjected journalists were subjected to violence, harassment, and intimidation."
2023,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"Censorship or Content Restrictions for Members of the Press and Other Media, Including Online Media: The Taliban enforced a July 2022 decree stating that “defaming and criticizing government officials without proof” and “spreading false news and rumors” were forbidden under Islam and that those who “slander” government employees were unwittingly collaborating with the enemy and would be “punished.” Taliban censorship and threats of detention and violence against journalists drove several media organizations to close and journalists to flee."
2023,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"In early August, Reporters without Borders stated that more than two-thirds of the 12,000 journalists in the country had lost their jobs since August 2021, including more than 80 percent of women journalists who forcibly had to leave their jobs."
2023,Afghanistan,afghanistan,media outlets,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"On March 30, media outlets reported the Taliban closed the Sada-e-Banwan (women’s voice) radio station in Badakhshan Province."
2023,Afghanistan,afghanistan,media outlets,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"Media outlets and activists routinely used social media to discuss political developments, and social media was widely used in urban areas."
2023,Afghanistan,afghanistan,activists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"Media outlets and activists routinely used social media to discuss political developments, and social media was widely used in urban areas."
2023,Afghanistan,afghanistan,activist,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"On January 20 a key social activist and media reporter, Natiq Malekzadeh, tweeted that the Taliban started a campaign to control and pressure social media activists and Taliban critics through social media."
2023,Afghanistan,afghanistan,activists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"On January 20 a key social activist and media reporter, Natiq Malekzadeh, tweeted that the Taliban started a campaign to control and pressure social media activists and Taliban critics through social media."
2023,Afghanistan,afghanistan,activist,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,b. Freedoms of Peaceful Assembly and Association,rules,"A women’s rights activist and influential figure in the women’s protests said Parsi had been under surveillance for some time, had recently stopped using her mobile phone, and had reportedly changed her residence in Kabul 10 days before her arrest."
2023,Afghanistan,afghanistan,media outlets,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,d. Freedom of Movement and the Right to Leave the Country,rules,"On August 23, media outlets reported that the Taliban prevented 60 girls from traveling to Dubai to go to school on scholarship even though the girls had passports, visas, proof of scholarship, and accompaniment by a mahram."
2023,Afghanistan,afghanistan,UNHCR,UN body,gazetteer,high,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"The Taliban cooperated with the Office of the UN High Commissioner for Refugees (UNHCR), International Organization for Migration (IOM), and other humanitarian organizations in providing protection and assistance to refugees and returning refugees, as well as to other persons of concern."
2023,Afghanistan,afghanistan,International Organization for Migration,UN body,gazetteer,high,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"The Taliban cooperated with the Office of the UN High Commissioner for Refugees (UNHCR), International Organization for Migration (IOM), and other humanitarian organizations in providing protection and assistance to refugees and returning refugees, as well as to other persons of concern."
2023,Afghanistan,afghanistan,UNHCR,UN body,gazetteer,high,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"Durable Solutions: UNHCR estimated there were 5.2 million Afghan refugees and asylum seekers in neighboring countries as of December 31, 2022."
2023,Afghanistan,afghanistan,UNHCR,UN body,gazetteer,high,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"As of August 1, UNHCR documented 8,029 Afghan refugees voluntarily returned to Afghanistan during the year (95 percent from Pakistan, 4 percent from Iran and 1 percent from other countries)."
2023,Afghanistan,afghanistan,UNHCR,UN body,gazetteer,high,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"As part of its support to refugees voluntarily returning to the country from countries of asylum, UNHCR offered a voluntary repatriation package consisting of a one-off cash grant of $375 to cover transportation and immediate needs upon arrival."
2023,Afghanistan,afghanistan,UNHCR,UN body,gazetteer,high,Section 2. Respect for Civil Liberties,f. Status and Treatment of Internally Displaced Persons,rules,"(IDPs) The IOM and UNHCR estimated there were more than five million IDPs in the country displaced by both conflict and natural disasters, including both new and long-term displacements."
2023,Afghanistan,afghanistan,UNHCR,UN body,gazetteer,high,Section 2. Respect for Civil Liberties,f. Status and Treatment of Internally Displaced Persons,rules,"As of August 1, UNHCR estimated 1,900 IDPs had returned to their places of origin during the year."
2023,Afghanistan,afghanistan,Internal Displacement Monitoring Center,named (unclassified),pattern,medium,Section 2. Respect for Civil Liberties,f. Status and Treatment of Internally Displaced Persons,rules,"Many IDPs in urban areas reportedly faced discrimination, lacked access to adequate sanitation and other basic services, and lived at constant risk of eviction from illegally occupied displacement sites, according to the Internal Displacement Monitoring Center."
2023,Afghanistan,afghanistan,Norwegian Refugee Council,named (unclassified),pattern,medium,Section 2. Respect for Civil Liberties,f. Status and Treatment of Internally Displaced Persons,rules,"The Norwegian Refugee Council reported the deaths of two children, ages four and 15, during the evacuation in the Pul-e- Shina area outside of Kabul, although a spokesman for Kabul municipality denied there were any casualties during the clearance operation."
2023,Afghanistan,afghanistan,media outlets,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,f. Status and Treatment of Internally Displaced Persons,rules,"On August 26, media outlets reported that the Taliban in Baghlan Province forcibly displaced approximately 15 Tajik families, and threated numerous others, reportedly charging that the families were cooperating with the National Resistance Front (NRF)."
2023,Afghanistan,afghanistan,nongovernmental organizations,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,g. Stateless Persons,rules,"Nongovernmental organizations (NGOs) noted the lack of official birth registration for refugee children in the country as a significant problem and protection concern, due to the risk of statelessness and potential long-term disadvantage."
2023,Afghanistan,afghanistan,ngos,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,g. Stateless Persons,rules,"Nongovernmental organizations (NGOs) noted the lack of official birth registration for refugee children in the country as a significant problem and protection concern, due to the risk of statelessness and potential long-term disadvantage."
2023,Afghanistan,afghanistan,United Nations,UN body,gazetteer,high,Section 3. Freedom to Participate in the Political,,rules,"On September 11, United Nations Special Rapporteur for Human Rights Richard Bennett stated Taliban officials were overwhelmingly Pashtun men and were uninterested in the participation of other ethnic groups and women in power."
2023,Afghanistan,afghanistan,United Nations,UN body,gazetteer,high,Section 3. Freedom to Participate in the Political,,rules,"On September 26, UN Under-Secretary-General and Executive Director of United Nations Entity for Gender Equality and the Empowerment of Women Sima Sami Bahous said women’s influence on decision-making in the country had shrunk dramatically at all levels."
2023,Afghanistan,afghanistan,Empowerment of Women Sima Sami Bahous,named (unclassified),pattern,medium,Section 3. Freedom to Participate in the Political,,rules,"On September 26, UN Under-Secretary-General and Executive Director of United Nations Entity for Gender Equality and the Empowerment of Women Sima Sami Bahous said women’s influence on decision-making in the country had shrunk dramatically at all levels."
2023,Afghanistan,afghanistan,media reports,unnamed/generic,generic,low,Section 3. Freedom to Participate in the Political,,rules,"According to media reports, the Taliban repressed members of the lesbian, gay, bisexual, transgender, queer, or intersex (LGBTQI+) community and would not allow members of historically marginalized minority groups to participate in their so-called ministries and institutions."
2023,Afghanistan,afghanistan,local ngos,unnamed/generic,generic,low,Section 4. Corruption in Government,,rules,"On September 25, sources reported that Taliban personnel in Kunar Province asked local NGOs to hire their relatives and members, rent their vehicles, and otherwise indirectly requested money from the project implementers."
2023,Afghanistan,afghanistan,ngos,unnamed/generic,generic,low,Section 4. Corruption in Government,,rules,"When the NGOs denied the Taliban’s demands, the Taliban reportedly ordered local residents and district officials not to coordinate or work with the project implementers."
2023,Afghanistan,afghanistan,activists,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"The legacy of the Taliban’s retaliatory actions against activists created a climate of uncertainty and fear, which curtailed the work of journalists, civic activists, and human rights defenders, many of whom left the country due to retaliation or engaged in self-censorship."
2023,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"The legacy of the Taliban’s retaliatory actions against activists created a climate of uncertainty and fear, which curtailed the work of journalists, civic activists, and human rights defenders, many of whom left the country due to retaliation or engaged in self-censorship."
2023,Afghanistan,afghanistan,human rights defenders,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"The legacy of the Taliban’s retaliatory actions against activists created a climate of uncertainty and fear, which curtailed the work of journalists, civic activists, and human rights defenders, many of whom left the country due to retaliation or engaged in self-censorship."
2023,Afghanistan,afghanistan,international human rights organizations,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"Some investigations and reports by international human rights organizations documented widespread human rights abuses and atrocities by the Taliban, including allegations of summary executions of persons associated with the pre-August 2021 government, as well as unlawful killings and forced disappearances of journalists and activists."
2023,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"Some investigations and reports by international human rights organizations documented widespread human rights abuses and atrocities by the Taliban, including allegations of summary executions of persons associated with the pre-August 2021 government, as well as unlawful killings and forced disappearances of journalists and activists."
2023,Afghanistan,afghanistan,activists,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"Some investigations and reports by international human rights organizations documented widespread human rights abuses and atrocities by the Taliban, including allegations of summary executions of persons associated with the pre-August 2021 government, as well as unlawful killings and forced disappearances of journalists and activists."
2023,Afghanistan,afghanistan,ngos,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"On January 1, the Taliban’s spokesperson reaffirmed a restriction banning all NGOs and international NGOs from employing Afghan women in the country."
2023,Afghanistan,afghanistan,international ngos,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"On January 1, the Taliban’s spokesperson reaffirmed a restriction banning all NGOs and international NGOs from employing Afghan women in the country."
2023,Afghanistan,afghanistan,United Nations,UN body,gazetteer,high,Section 5. Governmental Posture Towards,,rules,"Also on April 6, the Organization of Islamic Cooperation issued a statement calling the ban on women working for the United Nations in the country an alarming violation of women’s fundamental rights."
2023,Afghanistan,afghanistan,human rights defenders,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"Retribution against Human Rights Defenders: Women organizing for women’s and girls’ rights, civil society activists, and others who publicly dissented from Taliban policy suffered unjust detention or disappearance."
2023,Afghanistan,afghanistan,activists,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"Retribution against Human Rights Defenders: Women organizing for women’s and girls’ rights, civil society activists, and others who publicly dissented from Taliban policy suffered unjust detention or disappearance."
2023,Afghanistan,afghanistan,activist,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"On January 7, the Taliban reportedly raided a home in Kabul and arrested civil society activist Sultan Ali Ziayee, who had gathered with other activists to protest the Taliban’s decision to ban women’s education and work."
2023,Afghanistan,afghanistan,activists,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,"On January 7, the Taliban reportedly raided a home in Kabul and arrested civil society activist Sultan Ali Ziayee, who had gathered with other activists to protest the Taliban’s decision to ban women’s education and work."
2023,Afghanistan,afghanistan,activists,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,The civil society activists had reportedly gathered in the house of a woman activist who had been released from a Taliban detention cell only three days prior.
2023,Afghanistan,afghanistan,activist,unnamed/generic,generic,low,Section 5. Governmental Posture Towards,,rules,The civil society activists had reportedly gathered in the house of a woman activist who had been released from a Taliban detention cell only three days prior.
2023,Afghanistan,afghanistan,media outlets,unnamed/generic,generic,low,Section 6. Discrimination and Societal Abuses,,rules,"On July 3, media outlets reported that a girl, age 16, who was forced to marry a member of the Taliban in Ghor Province committed suicide on July 1."
2023,Afghanistan,afghanistan,journalists,unnamed/generic,generic,low,Section 6. Discrimination and Societal Abuses,,rules,The Taliban regulated dress codes for women journalists and banned women from acting in films.
2023,Afghanistan,afghanistan,media outlets,unnamed/generic,generic,low,Section 6. Discrimination and Societal Abuses,,rules,"On April 30, media outlets reported the Department of Information and Culture in Ghazni Province had prevented media outlets in the province from broadcasting commercial announcements recorded with women’s voices."
2023,Afghanistan,afghanistan,media outlets,unnamed/generic,generic,low,Section 6. Discrimination and Societal Abuses,,rules,"On July 24, media outlets reported that the Taliban in Ghazni Province banned women’s participation in the Shia religious mourning ceremony."
2023,Afghanistan,afghanistan,UN Under-Secretary-General Bahous,named (unclassified),pattern,medium,Section 6. Discrimination and Societal Abuses,,rules,"On August 31, the Ministry of Information and Culture told Rashatoudi news agency that the Taliban’s restrictions on women’s work were due to Islamic law and local traditions, adding that after the return of the Taliban the “attitude toward women has improved and the Taliban are providing security for women and allowing women to pursue entrepreneurship.” On September 26, UN Under-Secretary-General Bahous said restrictions on women were being enforced more frequently and with more severity, including by male family members, and were accompanied by increases in child marriage and child labor."
2023,Afghanistan,afghanistan,Human Rights Watch,international NGO,gazetteer,high,Section 6. Discrimination and Societal Abuses,,rules,"According to a study conducted by Human Rights Watch, male doctors were afraid to treat female patients because of restrictions imposed by the Taliban on interactions between men and women."
2023,Afghanistan,afghanistan,United Nations,UN body,gazetteer,high,Section 6. Discrimination and Societal Abuses,,rules,"According to the United Nations, the rate of contraceptive use among married women was 35 percent for those living in urban areas, compared with 19 percent in rural areas."
2023,Afghanistan,afghanistan,international ngos,unnamed/generic,generic,low,Section 6. Discrimination and Societal Abuses,,rules,"On June 6, sources confirmed that the Ministry of Education had directed all provincial education departments to notify international NGOs to suspend education activities in all provinces."
2023,Afghanistan,afghanistan,international ngos,unnamed/generic,generic,low,Section 6. Discrimination and Societal Abuses,,rules,The directive gave international NGOs a one-month grace period to wrap up operations and indicated a new directive would be forthcoming.
2023,Afghanistan,afghanistan,United Nations,UN body,gazetteer,high,Section 6. Discrimination and Societal Abuses,,rules,"Between January 1 and March 31, the United Nations verified 315 grave violations against 165 children."
2023,Afghanistan,afghanistan,UNICEF,UN body,gazetteer,high,Section 6. Discrimination and Societal Abuses,,rules,"In a June report, UNICEF expressed concern regarding the increase in child marriage and reported that due to the extremely difficult economic situation in the country, many families were forced to make “disappointing decisions” such as sending children to work and marrying off underage girls."
2023,Afghanistan,afghanistan,UNICEF,UN body,gazetteer,high,Section 6. Discrimination and Societal Abuses,,rules,UNICEF estimated that 28 percent of women in the country between the ages of 15 and 49 were married before the age of 18 and noted that teenage girls who were not allowed to go to school were more threatened by the “risk of child marriage.” Societal pressures and the Taliban practice of arranging marriages for widows also forced women into unwanted marriages.
2023,Afghanistan,afghanistan,human rights groups,unnamed/generic,generic,low,Section 6. Discrimination and Societal Abuses,,rules,"Sexual Exploitation of Children: The Taliban publicly stated that bacha bazi was against Islamic law, but multiple human rights groups reported the practice’s prevalence in many parts of the country."
2023,Afghanistan,afghanistan,Coordination of Humanitarian Affairs in Afghanistan,named (unclassified),pattern,medium,Section 6. Discrimination and Societal Abuses,,rules,"In May, the UN Office for the Coordination of Humanitarian Affairs in Afghanistan stated that persons with disabilities in the country were disproportionately affected by the humanitarian crisis."
2023,Afghanistan,afghanistan,International Trade Union Confederation,named (unclassified),pattern,medium,Section 7. Worker Rights,a. Freedom of Association and the Right to Collective,rules,The International Trade Union Confederation observed that there was no guarantee of rights due to the breakdown of the rule of law.
2023,Afghanistan,afghanistan,international trade union,unnamed/generic,generic,low,Section 7. Worker Rights,a. Freedom of Association and the Right to Collective,rules,The International Trade Union Confederation observed that there was no guarantee of rights due to the breakdown of the rule of law.
2023,Afghanistan,afghanistan,international ngos,unnamed/generic,generic,low,Section 7. Worker Rights,a. Freedom of Association and the Right to Collective,rules,"International NGOs noted that unions were largely absent from the informal and agricultural sectors, which accounted for most workers."
2023,Afghanistan,afghanistan,International Labor Organization,UN body,gazetteer,high,Section 7. Worker Rights,e. Acceptable Conditions of Work,rules,The International Labor Organization estimated that the informal sector accounted for more than 86 percent of the national economy.
2023,Albania,albania,Institute for Activism and Social Change (IANS),named (unclassified),pattern,medium,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,The Institute for Activism and Social Change (IANS) reported obstacles to carrying out prison monitoring.
2023,Albania,albania,General Directorate of Prisons (GDP),named (unclassified),pattern,medium,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,Abusive Physical Conditions: The General Directorate of Prisons (GDP) reported the system in general faced overcrowding in part due to having more pretrial detainees than convicts.
2023,Albania,albania,Prevention of Torture,named (unclassified),pattern,medium,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"Independent Monitoring: Local and international human rights groups, media, and international bodies such as the Committee for the Prevention of Torture reported they were allowed to monitor prisons and detention facilities without obstacle."
2023,Albania,albania,international human rights groups,unnamed/generic,generic,low,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,"Independent Monitoring: Local and international human rights groups, media, and international bodies such as the Committee for the Prevention of Torture reported they were allowed to monitor prisons and detention facilities without obstacle."
2023,Albania,albania,General Directorate of State Police,named (unclassified),pattern,medium,Section 1. Respect for the Integrity of the Person,"c. Torture and Other Cruel, Inhuman, or Degrading",rules,Improvements: The General Directorate of State Police reported it started operating in late 2022 the new 66-bed “security block” at the Tirana Police Directorate.
2023,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"Independent media organizations and professional journalists asserted the government, political parties, businesses, and criminal groups sought to influence media in inappropriate, nontransparent ways."
2023,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"Political pressure, corruption, and lack of funding constrained the independence of print media, and journalists reportedly practiced self-censorship."
2023,Albania,albania,Albanian Journalists Union (AJU),named (unclassified),pattern,medium,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"The Albanian Journalists Union (AJU) reported delays in salary payments to reporters at many media outlets including at least eight television stations, in some cases for up to five months."
2023,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"The Albanian Journalists Union (AJU) reported delays in salary payments to reporters at many media outlets including at least eight television stations, in some cases for up to five months."
2023,Albania,albania,media outlets,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"The Albanian Journalists Union (AJU) reported delays in salary payments to reporters at many media outlets including at least eight television stations, in some cases for up to five months."
2023,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"Financial problems led some journalists to rely more heavily on outside sources of income, leading to questions regarding the independence and integrity of their reporting."
2023,Albania,albania,Albanian Institute of Political Studies (AIPS),named (unclassified),pattern,medium,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,The Albanian Institute of Political Studies (AIPS) reported that individuals who publicly criticized the government and key politicians faced smear campaigns by government supporters and political leaders.
2023,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,Violence and Harassment: Political and business interests reportedly pressured journalists.
2023,Albania,albania,journalist,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,In January journalist Elvis Hila of Report TV and his wife were attacked in Lezha after Hila published a story showing one of the attackers had falsified a court ruling.
2023,Albania,albania,nongovernmental organizations,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,An investigation was underway at year’s end into what many outlets and nongovernmental organizations (NGOs) viewed as a terrorist attack.
2023,Albania,albania,ngos,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,An investigation was underway at year’s end into what many outlets and nongovernmental organizations (NGOs) viewed as a terrorist attack.
2023,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"Censorship or Content Restrictions for Members of the Press and Other Media, Including Online Media: Journalists often practiced self-censorship to avoid violence and harassment or to ensure employment."
2023,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"The AHC National Barometer of Freedom of the Media for 2021 reported 45.5 percent of journalists surveyed acknowledged they were asked not to publish a news story, and 45 percent acknowledged self-censoring."
2023,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"Additionally, local broadcaster ABC News changed its private ownership, and there were subsequent reports that programs run by journalists critical of the government were closed and those journalists left the station."
2023,Albania,albania,media reports,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"Following the change of senior management at the country’s sole public broadcaster, Radio Televizioni Shqiptar, several media reports claimed unjustified firings."
2023,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,The AJU urged the new leadership to respect the rights of journalists and employees at the broadcaster.
2023,Albania,albania,media outlet,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,Senior management at the private media outlet Syri.net reportedly monitored the communications of journalists and editors electronically to ensure adherence to the owners’ political leanings.
2023,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,Senior management at the private media outlet Syri.net reportedly monitored the communications of journalists and editors electronically to ensure adherence to the owners’ political leanings.
2023,Albania,albania,ngos,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"NGOs reported the fines were excessive and, combined with the entry of a criminal conviction into the defendant’s record, undermined freedom of expression."
2023,Albania,albania,journalists,unnamed/generic,generic,low,Section 2. Respect for Civil Liberties,"a. Freedom of Expression, Including for Members of the Press and Other Media",rules,"As of October there were 12 cases underway against journalists, seven initiated during the year, for defamation."
2023,Albania,albania,UNHCR,UN body,gazetteer,high,Section 2. Respect for Civil Liberties,d. Freedom of Movement and the Right to Leave the Country,rules,The Office of the UN High Commissioner for Refugees (UNHCR) reported persons granted international protection and persons at risk of statelessness were not issued travel documents in accordance with international legal instruments and EU legislation.
2023,Albania,albania,UNHCR,UN body,gazetteer,high,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"The government cooperated with UNHCR and other humanitarian organizations in providing protection and assistance to refugees, returning refugees, or asylum seekers, as well as other persons of concern."
2023,Albania,albania,UNHCR,UN body,gazetteer,high,Section 2. Respect for Civil Liberties,e. Protection of Refugees,rules,"Police allowed UNHCR, the Office of the Ombudsman, and their partners to conduct independent monitoring of asylum processes and related facilities."
